sample_name,replicate,fastq_r1,fastq_r2
EC3,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/079/SRR10803579/SRR10803579.fastq.gz,
GB1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/080/SRR10803580/SRR10803580.fastq.gz,
GB2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/081/SRR10803581/SRR10803581.fastq.gz,
LC1_1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/082/SRR10803582/SRR10803582.fastq.gz,
LC1_2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/083/SRR10803583/SRR10803583.fastq.gz,
LC1_3,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/084/SRR10803584/SRR10803584.fastq.gz,
LC2_1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/085/SRR10803585/SRR10803585.fastq.gz,
LC2_2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/086/SRR10803586/SRR10803586.fastq.gz,
niche1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/087/SRR10803587/SRR10803587.fastq.gz,
niche2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/088/SRR10803588/SRR10803588.fastq.gz,
S16,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/089/SRR10803589/SRR10803589.fastq.gz,
S4_1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/090/SRR10803590/SRR10803590.fastq.gz,
S4_2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/091/SRR10803591/SRR10803591.fastq.gz,
S8_1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/092/SRR10803592/SRR10803592.fastq.gz,
S8_2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/093/SRR10803593/SRR10803593.fastq.gz,
CAGE_bam_mutant_rep1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/004/SRR11186404/SRR11186404.fastq.gz,
CAGE_bam_mutant_rep2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/005/SRR11186405/SRR11186405.fastq.gz,
CAGE_72hrPHS_rep1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/006/SRR11186406/SRR11186406.fastq.gz,
CAGE_72hrPHS_rep2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/007/SRR11186407/SRR11186407.fastq.gz,
